text,speaker,season,episode,scene,utterance
Can I get you some coffee?,Waitress,1,1,1,50
"It's, uh, it's Paul.",Paul the Wine Guy,1,1,2,27
Yeah?,Paul the Wine Guy,1,1,2,52
"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Paul the Wine Guy,1,1,5,2
"Well, you might try accidentally breaking something valuable of hers, say her-",Paul the Wine Guy,1,1,5,4
"That's one way! Me, I- I went for the watch.",Paul the Wine Guy,1,1,5,6
"Ooh, steer clear of you.",Paul the Wine Guy,1,1,5,8
"Ever since she walked out on me, I, uh...",Paul the Wine Guy,1,1,8,1
"No, it's, it's more of a fifth date kinda revelation.",Paul the Wine Guy,1,1,8,3
Isn't there?,Paul the Wine Guy,1,1,8,5
"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",Paul the Wine Guy,1,1,8,7
It's okay...,Paul the Wine Guy,1,1,8,9
Two years.,Paul the Wine Guy,1,1,8,11
"So you still think you, um... might want that fifth date?",Paul the Wine Guy,1,1,8,13
"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.",Priest On Tv,1,1,9,1
Morning.,Paul the Wine Guy,1,1,11,9
Thank you! Thank you so much!,Paul the Wine Guy,1,1,11,14
"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",Paul the Wine Guy,1,1,11,16
Yeah. Thank you.,Paul the Wine Guy,1,1,11,18
"Hey, Monica!",Franny,1,1,12,1
"You had sex, didn't you?",Franny,1,1,12,3
"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",Franny,1,1,12,5
"Paul the Wine Guy? Oh yeah, I know Paul.",Franny,1,1,12,7
"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Franny,1,1,12,9
"Ahh, miss? More coffee?",Customer,1,1,15,16
"Well, she has issues.",Marsha,1,2,2,2
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Marsha,1,2,2,4
"Speaking of issues, isn't that your ex-wife?",Marsha,1,2,2,6
"Yes, it is. Carol! Hi!",Marsha,1,2,2,9
So.,Carol Willick,1,2,2,13
Sorry. You look good too.,Carol Willick,1,2,2,15
A lesbian?,Carol Willick,1,2,2,17
"Marty's still totally paranoid. Oh, and, uh-",Carol Willick,1,2,2,19
I'm pregnant.,Carol Willick,1,2,2,21
"Oh, Martha Ludwin's daughter is gonna call you. Mmm! What's that curry taste?",Judy Geller,1,2,4,1
Mmmm!,Judy Geller,1,2,4,3
They all had a thing for him.,Judy Geller,1,2,4,6
"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-",Judy Geller,1,2,4,9
"Well, they don't have to know that...",Judy Geller,1,2,4,11
"Oh, we're having spaghetti! That's.... easy.",Judy Geller,1,2,4,14
"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well.",Judy Geller,1,2,4,17
"Well, at least she had the chance to leave a man at the altar...",Judy Geller,1,2,4,19
Nothing! It's an expression.,Judy Geller,1,2,4,21
And you knew about this?!,Judy Geller,1,2,4,31
Hi.,Susan Bunch,1,2,6,3
"Ross, you remember Susan.",Carol Willick,1,2,6,4
Ross.,Susan Bunch,1,2,6,6
Dr. Oberman.,Carol Willick,1,2,6,8
She.,Susan Bunch,1,2,6,10
"Yes, and she's very supportive.",Carol Willick,1,2,6,12
Thanks.,Carol Willick,1,2,6,14
Ross? That opens my cervix.,Carol Willick,1,2,6,16
C'mon in.,Barry Farber,1,2,7,2
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",Barry Farber,1,2,7,4
Huh?!,Robbie,1,2,7,5
