speaker,emotion,season,episode,scene,utterance,text
Ross Geller,Mad,1,1,4,1,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
Joey Tribbiani,Neutral,1,1,4,3,I'm thinking we've got a bookcase here.
Chandler Bing,Joyful,1,1,4,4,It's a beautiful thing.
Joey Tribbiani,Neutral,1,1,4,5,What's this?
Chandler Bing,Neutral,1,1,4,6,I would have to say that is an 'L'-shaped bracket.
Joey Tribbiani,Neutral,1,1,4,7,Which goes where?
Chandler Bing,Scared,1,1,4,8,I have no idea.
Joey Tribbiani,Joyful,1,1,4,10,Done with the bookcase!
Chandler Bing,Joyful,1,1,4,11,All finished!
Ross Geller,Sad,1,1,4,12,"This was Carol's favorite beer. She always drank it out of the can, I should have known."
Joey Tribbiani,Mad,1,1,4,13,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
Chandler Bing,Scared,1,1,4,14,"Yes, please don't spoil all this fun."
Joey Tribbiani,Neutral,1,1,4,15,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
Ross Geller,Sad,1,1,4,16,You guys.
Chandler Bing,Sad,1,1,4,17,"Oh, God."
Joey Tribbiani,Mad,1,1,4,18,You got screwed.
Chandler Bing,Mad,1,1,4,19,Oh my God!
Monica Geller,Mad,1,1,5,1,Oh my God!
Paul the Wine Guy,Sad,1,1,5,2,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
Monica Geller,Sad,1,1,5,3,"My brother's going through that right now, he's such a mess. How did you get through it?"
Paul the Wine Guy,Powerful,1,1,5,4,"Well, you might try accidentally breaking something valuable of hers, say her-"
Monica Geller,Joyful,1,1,5,5,-leg?
Paul the Wine Guy,Joyful,1,1,5,6,"That's one way! Me, I- I went for the watch."
Monica Geller,Powerful,1,1,5,7,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
Paul the Wine Guy,Peaceful,1,1,5,8,"Ooh, steer clear of you."
Monica Geller,Powerful,1,1,5,9,That's right.
Ross Geller,Sad,1,1,7,1,I'm divorced! I'm only 26 and I'm divorced!
Joey Tribbiani,Mad,1,1,7,2,Shut up!
Chandler Bing,Mad,1,1,7,3,You must stop!
Ross Geller,Sad,1,1,7,4,That only took me an hour.
Chandler Bing,Sad,1,1,7,5,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
Ross Geller,Scared,1,1,7,6,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
Joey Tribbiani,Powerful,1,1,7,7,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
Ross Geller,Scared,1,1,7,8,I honestly don't know if I'm hungry or horny.
Chandler Bing,Mad,1,1,7,9,Stay out of my freezer!
Paul the Wine Guy,Sad,1,1,8,1,"Ever since she walked out on me, I, uh..."
Monica Geller,Neutral,1,1,8,2,"What?..... What, you wanna spell it out with noodles?"
Paul the Wine Guy,Sad,1,1,8,3,"No, it's, it's more of a fifth date kinda revelation."
Monica Geller,Neutral,1,1,8,4,"Oh, so there is gonna be a fifth date?"
Paul the Wine Guy,Scared,1,1,8,5,Isn't there?
Monica Geller,Neutral,1,1,8,6,"Yeah... yeah, I think there is. -What were you gonna say?"
Paul the Wine Guy,Sad,1,1,8,7,"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually."
Monica Geller,Neutral,1,1,8,8,"Oh God, oh God, I am sorry... I am so sorry..."
Paul the Wine Guy,Sad,1,1,8,9,It's okay...
