text,speaker,season,episode,scene,utterance
There's nothing to tell! He's just some guy I work with!,Monica Geller,1,1,1,1
"C'mon, you're going out with the guy! There's gotta be something wrong with him!",Joey Tribbiani,1,1,1,2
"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?",Chandler Bing,1,1,1,3
"Wait, does he eat chalk?",Phoebe Buffay,1,1,1,4
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",Phoebe Buffay,1,1,1,6
"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",Monica Geller,1,1,1,7
Sounds like a date to me.,Chandler Bing,1,1,1,8
"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",Chandler Bing,1,1,1,10
"Then I look down, and I realize there's a phone... there.",Chandler Bing,1,1,1,12
Instead of...?,Joey Tribbiani,1,1,1,13
That's right.,Chandler Bing,1,1,1,14
Never had that dream.,Joey Tribbiani,1,1,1,15
No.,Phoebe Buffay,1,1,1,16
"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",Chandler Bing,1,1,1,17
And they weren't looking at you before?!,Monica Geller,1,1,1,18
"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",Chandler Bing,1,1,1,19
Hi.,Ross Geller,1,1,1,21
"This guy says hello, I wanna kill myself.",Joey Tribbiani,1,1,1,22
"Are you okay, sweetie?",Monica Geller,1,1,1,23
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",Ross Geller,1,1,1,24
Cookie?,Chandler Bing,1,1,1,25
Carol moved her stuff out today.,Monica Geller,1,1,1,26
Ohh.,Joey Tribbiani,1,1,1,27
Let me get you some coffee.,Monica Geller,1,1,1,28
Thanks.,Ross Geller,1,1,1,29
Ooh! Oh!,Phoebe Buffay,1,1,1,30
"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",Ross Geller,1,1,1,31
Fine! Be murky!,Phoebe Buffay,1,1,1,32
"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",Ross Geller,1,1,1,33
No you don't.,Monica Geller,1,1,1,34
"No I don't, to hell with her, she left me!",Ross Geller,1,1,1,35
