speaker,season,episode,scene,utterance,text
Carol Willick,1,2,2,13,So.
Carol Willick,1,2,2,15,Sorry. You look good too.
Carol Willick,1,2,2,17,A lesbian?
Carol Willick,1,2,2,19,"Marty's still totally paranoid. Oh, and, uh-"
Carol Willick,1,2,2,21,I'm pregnant.
Judy Geller,1,2,4,1,"Oh, Martha Ludwin's daughter is gonna call you. Mmm! What's that curry taste?"
Judy Geller,1,2,4,3,Mmmm!
Judy Geller,1,2,4,6,They all had a thing for him.
Judy Geller,1,2,4,9,"Oh, she just graduated, and she wants to be something in cooking, or food, or.... I don't know. Anyway, I told her you had a restaurant-"
Judy Geller,1,2,4,11,"Well, they don't have to know that..."
Judy Geller,1,2,4,14,"Oh, we're having spaghetti! That's.... easy."
Judy Geller,1,2,4,17,"What that Rachel did to her life.... We ran into her parents at the club, they were not playing very well."
Judy Geller,1,2,4,19,"Well, at least she had the chance to leave a man at the altar..."
Judy Geller,1,2,4,21,Nothing! It's an expression.
Judy Geller,1,2,4,31,And you knew about this?!
Carol Willick,1,2,6,4,"Ross, you remember Susan."
Carol Willick,1,2,6,8,Dr. Oberman.
Carol Willick,1,2,6,12,"Yes, and she's very supportive."
Carol Willick,1,2,6,14,Thanks.
Carol Willick,1,2,6,16,Ross? That opens my cervix.
Carol Willick,1,2,8,2,Give me a 'for instance'.
Carol Willick,1,2,8,4,Marlon-
Carol Willick,1,2,8,6,"-if it's a boy, Minnie if it's a girl."
Carol Willick,1,2,8,8,As in my grandmother.
Carol Willick,1,2,8,10,Julia..
Carol Willick,1,2,10,3,Hello? It's not gonna be Helen Geller.
Carol Willick,1,2,10,5,"No, I mean it's not Geller."
Carol Willick,1,2,10,7,"No, actually, um, we talked about Helen Willick-Bunch."
Carol Willick,1,2,10,12,"All right, you two, stop it!"
Carol Willick,1,2,10,14,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.
Carol Willick,1,2,10,25,I know.
Janice Litman Goralnik,1,5,6,9,"Oh, my god, I am so glad you called me. I had the most supremely awful day."
Janice Litman Goralnik,1,5,6,11,"We got the proofs back from that photo shoot, you know, the one with the little vegetables. Anyway, they pretty much sucked, so, I blew off the rest of the day, and I went shopping... ... and I got you, I'm looking, I'm looking, I'm looking, I got you..."
Janice Litman Goralnik,1,5,6,14,What?
Janice Litman Goralnik,1,5,6,16,I got you...these.
Janice Litman Goralnik,1,5,6,18,"Well, I knew you had the Rockys, and so I figured, you know, you can wear Bullwinkle and Bullwinkle, or you can wear Rocky and Rocky,or, you can mix and match, moose and squirrel. Whatever you want."
Janice Litman Goralnik,1,5,6,22,"No, no, I'm still working on mine."
Janice Litman Goralnik,1,5,11,4,"All right. Well, there you go. Stop it, stop it, stop it."
Janice Litman Goralnik,1,5,14,2,Ow!
Janice Litman Goralnik,1,5,14,4,"Ow. Um, it's just my lens. It's just my lens. I'll be right back."
Judy Geller,1,8,3,4,"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?"
Judy Geller,1,8,3,6,What's different?
Judy Geller,1,8,3,8,"Oh, maybe that's it."
Judy Geller,1,8,3,29,What is going on?!
Judy Geller,1,8,3,31,What?
Judy Geller,1,8,5,2,"Well, that doesn't mean she can't look nice!"
Judy Geller,1,8,5,4,"Sweetie, you think you can get in there?"
Judy Geller,1,8,8,5,You're right. We'll go with the burgundy.
Judy Geller,1,8,8,10,That's really a day shoe.
Judy Geller,1,8,8,15,Mm. Unless we go with a different dress?
Judy Geller,1,8,8,19,"Is everything all right, dear?"
Judy Geller,1,8,10,2,"It really was. Oh, c'mere, sweetheart. Y'know, I think it might be time for you to start using night cream."
Judy Geller,1,8,11,6,"Here, sweetie, here. I took these when I had my golfing accident."
Judy Geller,1,8,11,34,Your grandmother would have hated this.
Judy Geller,1,8,11,36,"No, I'd be hearing about 'Why didn't I get the honey-glazed ham?', I didn't spend enough on flowers, and if I spent more she'd be saying 'Why are you wasting your money? I don't need flowers, I'm dead'."
Judy Geller,1,8,11,38,Do you know what it's like to grow up with someone who is critical of every single thing you say?
Judy Geller,1,8,11,40,"I'm telling you, it's a wonder your mother turned out to be the positive, life-affirming person that she is."
Judy Geller,1,8,11,42,Tell her what?
Judy Geller,1,8,11,44,I'm not sure I know what you're getting at.
Judy Geller,1,8,11,46,...No. I think some things are better left unsaid. I think it's nicer when people just get along.
Judy Geller,1,8,11,48,"More wine, dear?"
Judy Geller,1,8,11,50,Those earrings look really lovely on you.
Judy Geller,1,8,11,52,Actually they were Nana's.
Carol Willick,1,9,9,1,Anytime you're ready.
Carol Willick,1,9,9,3,Just aim for the bump.
Carol Willick,1,9,9,5,"So don't do it, it's fine. You don't have to do it just because Susan does it."
Carol Willick,1,9,11,2,"Look, you don't have to talk to it. You can sing to it if you want."
Carol Willick,1,9,11,7,I did.
Carol Willick,1,9,11,9,"No, no that was the first."
Janice Litman Goralnik,1,10,7,1,"I love this artichoke thing! Oh, don't tell me what's in it, the diet starts tomorrow!"
Janice Litman Goralnik,1,10,7,29,"There you are! Haaah, you got away from me!"
Janice Litman Goralnik,1,10,7,31,"Here, Ross, take our picture. Smile! You're on Janice Camera!"
Janice Litman Goralnik,1,10,7,41,"Oh, I'm gonna blow this one up, and I'm gonna write 'Reunited' in glitter."
Janice Litman Goralnik,1,10,7,43,"Oh, no. Oh, no."
